name,施設名(英語),カテゴリ,対象地区,住所,電話番号,lat,lon,説明(日本語),説明(英語),対象に対する記述
中央中学校,,避難所,神明,三六町１丁目１－５０,0778-51-1161,35.96949,136.180165,,,
神明幼稚園,,避難所,神明,三六町１丁目８－２４,0778-51-1002,35.971843,136.178422,,,
神明公民館,,避難所,神明,三六町１丁目４－１２,0778-51-5065,35.970727,136.178959,,,
神明保育所,,避難所,神明,三六町１丁目１－１２,0778-51-1137,35.968335,136.178814,,,
神明苑,,避難所,神明,神明町２丁目８－４,0778-52-5165,35.972495,136.183083,,,
夢みらい館・さばえ,,避難所,神明,三六町１丁目４－２０,0778-51-1722,35.970718,136.17933,,,
水落児童館,,避難所,神明,水落町１丁目８－２２,0778-52-3561,35.959049,136.18176,,,
鳥羽中児童センター,,避難所,神明,神明町４丁目７－５５,0778-52-5920,35.979438,136.185448,,,
神中児童センター,,避難所,神明,神中町３丁目５－３１,0778-52-8909,35.975332,136.187045,,,
健康福祉センター（アイアイさばえ）,,避難所,神明,水落町２丁目３０－１,0778-52-1121,35.961599,136.187807,,,
神明健康スポーツセンター,,避難所,神明,北野町１６－７,0778-51-7380,35.968747,136.174388,,,
勤労青少年ホーム,,避難所,神明,水落町２丁目２４－２,0778-52-5988,35.959876,136.186872,,,
青年会館,,避難所,神明,水落町２丁目２４－３１,,35.96035,136.186915,,,
文化の館,,避難所,神明,水落町２丁目２５－２８,0778-52-0089,35.961991,136.186513,,,
三六武道館,,避難所,神明,三六町２丁目２－４０,0778-52-8919,35.97346,136.180379,,,
ゲートボールセンター,,避難所,神明,水落町２丁目２５－１０,0778-51-8363,35.961887,136.185749,,,
丸山公園,,避難所,神明,丸山町,,35.983957,136.179277,,,
神中公園,,避難所,神明,神中町,,35.975823,136.188497,,,
御幸公園,,避難所,神明,御幸町,,35.977004,136.188754,,,
中河小学校,,避難所,中河,中野町７３－１６,0778-51-0518,35.95429,136.208658,,,
中河公民館,,避難所,中河,中野町２０３－８,0778-51-3102,35.956213,136.208984,,,
中河保育所,,避難所,中河,中野町２０８－１,0778-51-3103,35.954532,136.210406,,,
みずほ保育所,,避難所,中河,下河端町４７－４３,0778-51-1416,35.968683,136.198288,,,
曲木児童センター,,避難所,中河,中野町５４－３０－１,0778-52-5940,35.953851,136.206846,,,
環境教育支援センター（エコネットさばえ）,,避難所,中河,中野町７３－１１,0778-52-0050,35.954606,136.208515,,,
高年大学,,避難所,中河,舟枝町４－２３－１,0778-52-8824,35.962879,136.206737,,,
片上小学校,,避難所,片上,大野町１６－６,0778-51-4802,35.973756,136.231683,,,
片上幼稚園,,避難所,片上,大野町１６－６,0778-52-5791,35.974311,136.231575,,,
片上公民館,,避難所,片上,大野町６－８－１,0778-51-4801,35.973656,136.230857,,,
立待小学校,,避難所,立待,杉本町１－５,0778-51-1505,35.983888,136.169976,,,
立待公民館,,避難所,立待,杉本町７０２－２,0778-51-3376,35.9827283,136.174017,,,
立待保育所,,避難所,立待,杉本町３３－４－１,0778-51-3377,35.983618,136.173657,,,
石田保育所,,避難所,立待,石田上町４４－１,0778-51-1972,35.979572,136.160892,,,
石田児童センター,,避難所,立待,石田下町１７－１１,0778-52-5150,35.978014,136.157117,,,
立待体育館,,避難所,立待,杉本町５１３,0778-51-1567,35.983722,136.172514,,,
弓道場,,避難所,立待,杉本町６１９,0778-52-4524,35.982832,136.173582,,,
西公園,,避難所,立待,,,35.9711516,136.1658004,,,
吉川小学校,,避難所,吉川,大倉町２２－１,0778-62-1134,35.961902,136.157322,,,
吉川公民館,,避難所,吉川,大倉町５－１４－１,0778-62-1020,35.96307,136.157338,,,
吉川保育所,,避難所,吉川,大倉町５－２０,0778-62-1332,35.962927,136.156453,,,
平井児童センター,,避難所,吉川,平井町２７－９－５,0778-62-0716,35.961634,136.164726,,,
豊小学校,,避難所,豊,下野田町３９－２９,0778-62-1201,35.943696,136.151343,,,
豊幼稚園,,避難所,豊,上野田町２－９,0778-62-1680,35.942428,136.151622,,,
豊公民館,,避難所,豊,下野田町２６－８－１,0778-62-1011,35.945984,136.152168,,,
みのり保育所,,避難所,豊,上野田町２－９,0778-62-1331,35.942428,136.151622,,,
北中山小学校,,避難所,北中山,磯部町２５－１１,0778-65-1019,35.953387,136.243052,,,
東陽中学校,,避難所,北中山,落井町３２－７,0778-65-0104,35.951083,136.22999,,,
北中山幼稚園,,避難所,北中山,戸口町９－１１－４,0778-65-2879,35.953349,136.244121,,,
北中山公民館,,避難所,北中山,落井町４１－３３－１,0778-65-1001,35.9513561,136.2378073,,,
北中山児童センター,,避難所,北中山,磯部町２５－２８,0778-65-2390,35.9531347,136.2424019,,,
戸口児童センター,,避難所,北中山,戸口町１５－１８－３,0778-65-0664,35.951807,136.246267,,,
河和田小学校,,避難所,河和田,西袋町６７－８,0778-65-0050,35.953079,136.278772,,,
かわだ保育所,,避難所,河和田,莇生田町１０－５－１,0778-65-0173,35.946236,136.272356,,,
ラポーゼかわだ,,避難所,河和田,上河内町１９－３７－２,0778-65-0012,35.948078,136.300819,,,
東部児童センター,,避難所,河和田,別司町２１－１７,0778-65-1119,35.948329,136.258044,,,
越前漆器伝統産業会館（うるしの里会館）,,避難所,河和田,西袋町４０－１－２,0778-65-2727,35.95314,136.273902,,,
河和田体育館,,避難所,河和田,西袋町６８－４８－１,0778-65-1972,35.956562,136.277844,,,
中山公園,,避難所,河和田,西袋町,,35.958074,136.278018,,,
